commit type,deleted lines count
Multi-lang,0
Other,0
Multi-lang,473
Other,1
Other,1
Other,1
Other,2
Other,1
Other,35
Other,17
Other,2
Other,6
Other,4
Other,53
Other,3061
Other,1
Other,2
Other,1
Other,4
Other,0
Other,1
Other,0
Other,1
Other,0
Other,0
Other,2
Other,1
Other,43
Other,1
Multi-lang,1
Other,10
Other,14
Other,12
Other,1
Other,2
Other,0
Other,1
Multi-lang,9
Multi-lang,16
Other,4
Other,46
Other,6
Other,1
Other,7
Other,2
Multi-lang,89
Other,1
Other,53
Other,4
Multi-lang,1
Other,2
Other,2
Other,3
Other,1
Other,1
Other,23
Other,23
Other,65
Other,27
Other,1
Other,1
Other,1
Other,1
Other,16
Other,1
Other,3
Other,31
Other,2276
Other,3587
Other,1
Other,1
Other,1
Other,1
Other,11
Other,1
Other,3554
Other,3553
Other,1
Other,21
Other,26
Other,11
Other,61
Other,21
Other,12
Other,84
Other,50
